"BillType","BillNumber","Sequence","Sponsor","Type","Status","SponDate","WithDate","ModDate"
"S",2034,3,"Mukherji, Raj","C","A",12/18/2025 0:00:00,,12/18/2025 0:00:00
"S",2035,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,1/17/2024 0:00:00
"S",2035,2,"Singer, Robert W.","C","A",1/9/2024 0:00:00,,1/17/2024 0:00:00
"S",2036,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,1/17/2024 0:00:00
"S",2037,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2037,2,"Greenstein, Linda R.","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2037,3,"Schepisi, Holly T.","C","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2037,4,"Bucco, Anthony M.","C","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2037,5,"Singleton, Troy","C","A",10/20/2025 0:00:00,,10/20/2025 0:00:00
"S",2037,6,"Amato, Carmen F.","C","A",10/20/2025 0:00:00,,10/20/2025 0:00:00
"S",2038,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2038,2,"Cryan, Joseph P.","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2038,3,"Carter, Linda S.","P","A",12/8/2025 0:00:00,,12/8/2025 0:00:00
"S",2038,4,"Quijano, Annette","P","A",12/8/2025 0:00:00,,12/8/2025 0:00:00
"S",2038,5,"Moriarty, Paul D.","C","A",2/12/2024 0:00:00,,2/29/2024 0:00:00
"S",2038,6,"McCoy, Tennille R.","C","A",12/8/2025 0:00:00,,12/8/2025 0:00:00
"S",2039,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,1/17/2024 0:00:00
"S",2039,2,"Corrado, Kristin M.","P","A",1/9/2024 0:00:00,,1/17/2024 0:00:00
"S",2040,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
